"","k","accuracy"
"1",3,0.965746907706946
"2",4,0.960989533777355
"3",5,0.955280685061846
"4",6,0.948620361560419
"5",7,0.94291151284491
"6",8,0.939105613701237
"7",9,0.94291151284491
"8",10,0.938154138915319
"9",11,0.934348239771646
"10",12,0.935299714557564
"11",13,0.93244529019981
"12",14,0.941960038058991
"13",15,0.936251189343482
