"","parameter","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.001,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
"2",0.01,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
"3",0.1,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
"4",1,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
"5",10,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
"6",100,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
"7",1000,0.246033501155372,0.758080464528865,0.192398547535027,0.0037213513619697,0.00733977483273646,0.00330398068982442
